City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Tekeli,KZ,2020-10-29 21:02:55,44.83,78.82,29.25,84,10,6.76
179,Tianpeng,CN,2020-10-29 21:05:08,30.99,103.94,60.01,1,98,3.91
180,New Norfolk,AU,2020-10-29 21:02:49,-42.78,147.06,57.99,74,11,1.61
181,Puerto Colombia,CO,2020-10-29 21:05:09,10.99,-74.95,86.0,74,40,4.7
182,Kinablangan,PH,2020-10-29 21:05:09,7.69,126.55,77.94,81,100,3.98
183,Chara,RU,2020-10-29 21:05:10,56.91,118.26,15.94,89,99,1.43
184,Bengkulu,ID,2020-10-29 21:01:56,-3.8,102.27,75.15,87,86,3.85
185,Cabo San Lucas,MX,2020-10-29 21:02:10,22.89,-109.91,82.99,51,5,12.75
186,Qandala,SO,2020-10-29 21:05:10,11.47,49.87,82.11,64,0,2.35
187,Were Ilu,ET,2020-10-29 21:05:10,10.6,39.43,46.13,56,0,5.99
188,Gat,IL,2020-10-29 21:02:16,31.61,34.76,75.99,100,0,3.8
189,Ust-Nera,RU,2020-10-29 21:05:11,64.57,143.2,7.2,88,100,1.39
190,Seddon,AU,2020-10-29 21:05:11,-37.81,144.89,57.99,82,90,6.93
191,Sioux Lookout,CA,2020-10-29 21:03:27,50.1,-91.92,26.89,81,0,3.49
192,Sabang,ID,2020-10-29 21:05:11,5.89,95.32,82.26,75,99,18.16
193,Jijiga,ET,2020-10-29 21:05:12,9.35,42.8,59.9,76,0,2.33
194,Kamenka,RU,2020-10-29 21:02:10,51.32,42.77,46.0,61,79,10.09
195,Tilichiki,RU,2020-10-29 21:02:40,60.47,166.1,23.58,94,0,3.65
196,Ruwi,OM,2020-10-29 21:05:12,23.6,58.55,75.2,73,0,4.7
197,South Lake Tahoe,US,2020-10-29 21:00:13,38.93,-119.98,66.99,23,1,3.36
198,Barcelos,PT,2020-10-29 21:00:30,41.54,-8.62,55.99,100,0,3.44
199,Dongsheng,CN,2020-10-29 21:05:13,39.82,109.98,38.19,71,19,8.19
200,Capao Da Canoa,BR,2020-10-29 21:05:13,-29.75,-50.01,63.84,70,100,15.43
201,Mataram,ID,2020-10-29 21:05:14,-8.58,116.12,78.75,79,93,3.36
